"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"DL-Benzylsuccinic acid","NA","NA","NA","NA","NA","0"
"D-Glucarate","Glucaric acid","HMDB0000663","33037","C00818","[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O","1"
"Val-Pro","Valyl-Proline","HMDB0029135",NA,"","CC(C)C(N)C(=O)N1CCCC1C(O)=O","1"
"3-Hydroxysebacic acid","3-Hydroxysebacic acid","HMDB0000350","3017884","","C(CCCC(=O)O)CCC(CC(=O)O)O","1"
"Picric acid","NA","NA","NA","NA","NA","0"
"Sotalol","Sotalol","HMDB0014632","5253","C07309","CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O","1"
"Alpha-N-Phenylacetyl-L-glutamine","Alpha-N-Phenylacetyl-L-glutamine","HMDB0006344","92258","C04148","C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O","1"
"Stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(=O)O","1"
"Lys-Tyr","Lysyl-Tyrosine","HMDB0028963",NA,"","NCCCCC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O","1"
"Cyclopiazonic Acid","NA","NA","NA","NA","NA","0"
"Cefadroxil","Cefadroxil","HMDB0015271","47965","C06878","CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O","1"
"5-Androsten-3.beta.,17.beta.-diol-3-sulfate","NA","NA","NA","NA","NA","0"
"[1,1'-Biphenyl]-2-carboxylic acid, 4'-[[(1-oxopentyl)phenylamino]methyl]","NA","NA","NA","NA","NA","0"
"5.alpha.-Pregnan-3.alpha.,17-diol-20-one 3-sulfate","NA","NA","NA","NA","NA","0"
"Lobaric acid","NA","NA","NA","NA","NA","0"
"17-beta-Estradiol glucuronide","17-beta-Estradiol glucuronide","HMDB0010317","66424","","C[C@]12CCC3C(C1CC[C@@H]2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O","1"
"Taurocholate","Taurocholic acid","HMDB0000036","440567","C05122","CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1([C@H](CC3C2[C@@H](C[C@H]4C3(CC[C@H](C4)O)C)O)O)C","1"
".beta.-D-Glucopyranosiduronic acid, 6-[3-(1-naphthalenylcarbonyl)-1H-indol-1-yl]hexyl","NA","NA","NA","NA","NA","0"
