"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS"
"M273T524_POS",273.0756939,524.182373,"mz273.076331540667rt528.559548",1,2,"(-)-Naringenin","480-41-1","HMDB02670","C00509","M0467","(M+H)+",1.328852,0.9985883,NA,NA,"20",0.6589119
"M286T773_POS",286.2735347,772.7600098,"mz286.274017333984rt760.3794",1,2,"Pentadecanoyl Ethanolamide","72623-73-5",NA,NA,"MONA_18316","(M+H)+",0.155065,0.9999808,NA,NA,"10",0.4048905
"M302T283_POS",302.1535582,283.4091797,"mz302.159757411682rt306.251286",1,2,"(Methylenecyclopropyl)acetyl-L-carnitine",NA,"METPA0001",NA,"NO02352","(M+HCOO+2H)+",0.3564708,0.9998983,NA,NA,"25",0.6353606
"M328T659_POS",328.1182725,658.8292236,"mz328.11977541667rt664.4937",1,2,"MMV1110498",NA,NA,NA,"MONA_17560","(M+H)+",17.46499,0.7834715,NA,NA,"HCD (NCE 20-30-40%)",0.4983939
"M329T572_POS",329.1702496,571.565979,"mz329.175222088808rt605.79972",1,2,"Methotrimeprazine","60-99-1","HMDB0015474","C07192","M0036","(M+H)+",17.55522,0.7814933,NA,NA,"20",0.6511799
"M79T74_NEG",78.95569907,74.06248474,"mz78.955833435059rt106.582422",1,2,"Ortophosphate",NA,NA,NA,"MONA_18505","(M-H2O-H)-",7.904427,0.9512447,NA,NA,"20",0.7657906
"M101T98_NEG",101.0241794,97.50981522,"mz101.024292816817rt147.965958",1,2,"Succinic acid semialdehyde","692-29-5","HMDB01259","C00232","M0307","(M-H)-",0.267958,0.9999426,NA,NA,"20",0.6421191
"M107T349_NEG",107.0466598,348.5289958,"mz107.046577235008rt396.138312",1,2,"p-Cresol","106-44-5","HMDB01858","C01468","M0772","(M-H)-",9.056912,0.9364847,NA,NA,"20",0.7697684
"M117T244_NEG",117.055463,244.0486755,"mz117.055639995984rt291.62964",1,2,"3-Hydroxyisovaleric acid","625-08-1","HMDB00754",NA,"S0198","(M-H)-",0.15001,0.999982,NA,NA,"20",0.716349
"M118T251_NEG",118.0510308,250.8011322,"mz118.050827026367rt222.034266",1,2,"L-Threonine","72-19-5","HMDB00167","C00188","NO07379","(M-H)-",0.1824341,0.9999734,NA,NA,"15",0.6864187
"M122T495_NEG",122.0326848,495.1329346,"mz122.032718445786rt517.496718",1,2,"Picolinic acid","98-98-6","HMDB02243","C10164","NO07409","(M-H)-",20.04611,0.725077,NA,NA,"5",0.6371645
"M143T268_NEG",143.0709792,268.4240417,"mz143.071141161357rt262.048224",1,2,"cis-4-Hydroxycyclohexanecarboxylic acid","3685-22-1",NA,NA,"NO07703","(M-H)-",0.3970966,0.9998739,NA,NA,"15",0.7216649
"M144T292_NEG",144.0663185,291.6400146,"mz144.066437371284rt285.643944",1,2,"Isobutyrylglycine","15926-18-8","HMDB00730",NA,"L0206","(M-H)-",0.3815718,0.9998835,NA,NA,"20",0.726995
"M147T98_NEG",147.0299713,98.34817123,"mz147.029683293562rt148.222692",1,2,"Citramalic acid","597-44-4 (1030365-02-6)","HMDB00426","C00815","S0222","(M-H)-",0.4667661,0.9998257,NA,NA,"25",0.7328435
"M153T214_NEG",153.0225628,214.3218994,"mz153.019194554555rt250.525578",1,2,"3,4-Dihydroxybenzoic acid",NA,"HMDB0001856","C00230","MONA_15434","(M-H)-",0.2852936,0.9999349,NA,NA,"HCD (NCE 20-30-40%)",0.7096813
"M158T288_NEG",158.0818299,288.0621338,"mz158.081966999402rt319.343274",1,2,"Acetyl-DL-Valine","3067-19-4","HMDB11757",NA,"M1589","(M-H)-",0.5825015,0.9997286,NA,NA,"20",0.4618634
"M165T398_NEG",165.0555936,398.1331177,"mz165.055333634529rt457.29909",1,2,"4-Methoxyphenylacetic acid","104-01-8","HMDB0002072",NA,"NO00306","(M-H)-",0.9159137,0.9993291,NA,NA,"5",0.4055741
"M195T450_NEG",195.0661131,450.457489,"mz195.065734863281rt482.72922",1,2,"Hydroferulic acid","1135-23-5",NA,NA,"NO01089","(M-H)-",1.412842,0.9984044,NA,NA,"25",0.5580648
"M197T491_NEG",197.0817545,490.7640381,"mz197.081359863281rt448.764582",1,2,"2-Amino-3-methylimidazo[4,5-f]quinoline","76180-96-6","HMDB29706","C19180","shen_4678_HMDB29706","(M-H)-",4.716192,0.9823634,NA,NA,"Unknown_1",0.4725
"M253T680_NEG",253.1076746,679.5500488,"mz253.107806847248rt670.68342",1,2,"Sotalol","3930-20-9","HMDB0014632","C07309","MassBank_1491","(M-H2O-H)-",15.51712,0.8247914,NA,NA,"35 % (nominal)",0.6324361
"M257T213_NEG",257.0776712,212.5509033,"mz257.077606201172rt156.8262",1,2,"L-Pyroglutamic acid","98-79-3","HMDB00267","C01879","S0010","(2M-H)-",0.6844971,0.9996252,NA,NA,"30",0.5187913
"M267T191_NEG",267.0731249,190.8057861,"mz267.073076143332rt218.113722",1,2,"Inosine","58-63-9","HMDB00195","C00294","S0032","(M-H)-",0.9846417,0.9992247,NA,NA,"35",0.7173377
"M347T690_NEG",347.1712961,690.0605469,"mz347.170794602195rt642.34416",1,2,"Enalaprilat","76420-72-9","HMDB41886","C11720","NO04839","(M-H)-",23.98651,0.6311057,NA,NA,"10",0.4893427
"M362T238_NEG",362.0876209,238.3233948,"mz362.083908082246rt239.910228",1,2,"Cefadroxil","50370-12-2","HMDB15271","C06878","NO05227","(M-H)-",5.770206,0.9737154,NA,NA,"10",0.4140995
"M386T523_NEG",386.1634715,522.7855835,"mz386.172058105469rt575.323392",1,2,"[1,1'-Biphenyl]-2-carboxylic acid, 4'-[[(1-oxopentyl)phenylamino]methyl]-","862891-27-8",NA,NA,"NO05745","(M-H)-",10.10474,0.9215626,NA,NA,"15",0.598043
"M413T603_NEG",413.199958,602.6664124,"mz413.199998167655rt636.2037",1,2,"5.alpha.-Pregnan-3.alpha.,17-diol-20-one 3-sulfate",NA,"METPA0001",NA,"NO06143","(M-H)-",0.7304752,0.9995732,NA,NA,"30",0.6957751
"M449T896_NEG",449.2543382,896.0288086,"mz449.254297879218rt931.43154",1,2,"5.alpha.-Androstan-3.alpha.,17.beta.-diol-17.beta.-glucuronide","95237-44-8",NA,NA,"NO06732","(M-H2O-H)-",0.2273118,0.9999587,NA,NA,"60",0.8106687
"M519T670_NEG",519.222593,669.9087219,"mz519.22522035192rt642.3039",1,2,"(+)-11-Nor-.DELTA.9-tetrahydrocannabinol-9-carboxylic acid glucuronide","1362113-32-3",NA,NA,"NO06938","(M-H)-",3.120711,0.9922392,NA,NA,"20",0.6380689
"M673T82_NEG",673.2314658,81.86908722,"mz673.230452888345rt100.608894",1,2,"6'-Sialyl-N-acetyllactosamine","78969-47-8","HMDB0006584",NA,"NO07981","(M-H)-",0.6641287,0.9996472,NA,NA,"40",0.7199145
