"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database"
"M121T277",121.0295347,277.3089752,"mz121.029296543472rt296.939766",1,2,"4-Hydroxybenzaldehyde","123-08-0","HMDB11718","C00633","shen_3311_HMDB11718","(M-H)-","0.4572313","0.9998328","NA","NA","Unknown_1","0.8014713","0.8758569","hmdbDatabase0.0.1"
"M122T495",122.0326848,495.1329346,"mz122.032718445786rt517.496718",1,2,"Picolinic acid","98-98-6","HMDB02243","C10164","NO07409","(M-H)-","20.04611","0.725077","NA","NA","5","0.6371645","0.6701317","orbitrapDatabase0.0.1"
"M123T275",123.0449126,274.9828491,"mz123.045029983272rt328.341744",1,2,"3-(Hydroxymethyl)phenol","NA","NA","NA","MONA_15442","(M-H)-","0.2487818","0.9999505","NA","NA","HCD (NCE 20-30-40%)","0.7587155","0.8491786","monaDatabase0.0.1"
"M123T484",123.0450591,483.6435852,"mz123.044945831578rt448.541592",1,2,"3-Methylcatechol","488-17-5","NA","NA","NO07415","(M-H)-","0.3854211","0.9998812","NA","NA","15","0.7023113","0.8139","orbitrapDatabase0.0.1"
"M125T202",125.0354447,201.8187027,"mz125.03547668457rt201.236184",1,2,"Thymine","65-71-4","HMDB00262","C00178","shen_676_HMDB00262","(M-H)-","0.3769036","0.9998864","NA","NA","Unknown_2","0.6922617","0.807621","hmdbDatabase0.0.1"
"M128T74",128.0352991,73.59822845,"mz128.035131513679rt131.198718",1,2,"Pyroglutamic acid","98-79-3","HMDB00267","C01879","M0403","(M-H)-","0.4212158","0.9998581","NA","NA","20","0.7475947","0.8421935","metlinDatabase0.0.1"
"M129T98",129.0194487,98.16768646,"mz129.019271850586rt123.505512",1,2,"Citraconic acid","498-23-7","HMDB00634","C02226","NO07486","(M-H)-","0.07037354","0.999996","NA","NA","5","0.4650965","0.6656838","orbitrapDatabase0.0.1"
"M130T406",130.0870967,405.7845154,"mz130.087158203125rt457.164336",1,2,"L-beta-Homovaline","219310-09-5","NA","NA","MassBank_17484","(M-H)-","0.4294922","0.9998524","NA","NA","Ramp 5-60","0.4907084","0.6816374","massbankDatabase0.0.1"
"M133T294",133.0490806,293.6928711,"mz133.050427224755rt248.357364",1,2,"2,3-Dihydroxy-3-methylbutyric acid","1756-18-9","HMDB12141","NA","n00280","(M-H)-","0.4569381","0.999833","NA","NA","20","0.5448928","0.7154954","nistDatabase0.0.1"
"M135T102",135.0305942,102.4347229,"mz135.029746827502rt115.938942",1,2,"L-Threonate","70753-61-6","HMDB00943","NA","L0376","(M-H)-","0.3079312","0.9999241","NA","NA","20","0.7341056","0.8337875","nistDatabase0.0.1"
"M137T194",137.0353105,194.452652,"mz137.035384046853rt139.269642",1,2,"Urocanic acid","104-98-3","HMDB00301","NA","S0242","(M-H)-","0.6148829","0.9996976","NA","NA","15","0.6841698","0.8024927","nistDatabase0.0.1"
"M141T488",141.091983,487.8325653,"mz141.091903686523rt530.561754",1,2,"3-Hydroxyoctanoic acid","14292-27-4","HMDB01954","NA","NO00203","(M-H2O-H)-","0.2407837","0.9999536","NA","NA","20","0.5199184","0.6999316","orbitrapDatabase0.0.1"
"M141T187",141.0189928,186.6130219,"mz141.019200054756rt236.078184",1,2,"5-Hydroxymethyl-2-furancarboxylic acid","6338-41-6","HMDB02432","NA","NO07680","(M-H)-","0.2498631","0.9999501","NA","NA","15","0.6785165","0.7990541","orbitrapDatabase0.0.1"
"M141T695",141.0168929,694.7525635,"mz141.016815185547rt730.28538",1,2,"Oxoadipic acid","3184-35-8","NA","C00322","M0389","(M-H2O-H)-","6.212036","0.9696001","NA","NA","30","0.6518811","0.7710257","metlinDatabase0.0.1"
"M141T1031",140.9949414,1030.559976,"mz140.994934082031rt1003.22676",1,2,"D(-)-beta-hydroxy butyric acid","300-85-6","HMDB00357","C01089","M0050","(M+K-2H)-","2.414795","0.9953459","NA","NA","20","0.6016605","0.7492925","metlinDatabase0.0.1"
"M142T179",142.0506631,179.0493622,"mz142.050783668342rt178.403982",1,2,"N-Methyl-L-glutamate","NA","NA","C01046","M1401","(M-H2O-H)-","0.2908291","0.9999323","NA","NA","20","0.4146196","0.6341119","metlinDatabase0.0.1"
"M142T258",142.0508344,257.6269226,"mz142.050748540703rt211.604232",1,2,"N-Methyl-L-glutamate","NA","NA","C01046","M1401","(M-H2O-H)-","0.3786482","0.9998853","NA","NA","20","0.4022302","0.6263509","metlinDatabase0.0.1"
"M143T268",143.0709792,268.4240417,"mz143.071141161357rt262.048224",1,2,"cis-4-Hydroxycyclohexanecarboxylic acid","3685-22-1","NA","NA","NO07703","(M-H)-","0.3970966","0.9998739","NA","NA","15","0.7216649","0.8259933","orbitrapDatabase0.0.1"
"M144T451",144.0662153,450.8618469,"mz144.066501772266rt399.972738",1,2,"4-acetamidobutanoate","3025-96-5","NA","C02946","M1101","(M-H)-","0.2455693","0.9999518","NA","NA","20","0.4339695","0.6462129","metlinDatabase0.0.1"
"M144T292",144.0663185,291.6400146,"mz144.066437371284rt285.643944",1,2,"Isobutyrylglycine","15926-18-8","HMDB00730","NA","L0206","(M-H)-","0.3815718","0.9998835","NA","NA","20","0.726995","0.8293282","nistDatabase0.0.1"
"M145T200",145.0508585,199.8721313,"mz145.050430499171rt205.884906",1,2,"Adipic acid","124-04-9","HMDB00448","NA","S0173","(M-H)-","0.4487521","0.9998389","NA","NA","15","0.4103325","0.6313974","nistDatabase0.0.1"
"M146T91",146.0458678,91.1517334,"mz146.045608520508rt109.182552",1,2,"Citraconic acid","498-23-7","HMDB00634","NA","S0076","(M+NH4-2H)-","0.7536987","0.9995457","NA","NA","10","0.5019206","0.68853","nistDatabase0.0.1"
"M147T98",147.0299713,98.34817123,"mz147.029683293562rt148.222692",1,2,"Citramalic acid","597-44-4 (1030365-02-6)","HMDB00426","NA","S0222","(M-H)-","0.4667661","0.9998257","NA","NA","25","0.7328435","0.8329618","nistDatabase0.0.1"
"M147T200",147.0659216,200.0974731,"mz147.066133277132rt253.789674",1,2,"Mevalonic acid","150-97-0","HMDB00227","C00418","NO07757","(M-H)-","0.4168072","0.999861","NA","NA","5","0.5373354","0.7107825","orbitrapDatabase0.0.1"
"M150T371",150.0558442,370.894989,"mz150.055883825744rt322.084044",1,2,"Acetaminophen","103-90-2","HMDB01859","NA","NO00015","(M-H)-","0.2904356","0.9999325","NA","NA","10","0.5740539","0.7337584","orbitrapDatabase0.0.1"
"M150T495",150.0559034,494.6693878,"mz150.055769484942rt443.535336",1,2,"Acetaminophen","103-90-2","HMDB01859","NA","NO00015","(M-H)-","0.5762876","0.9997343","NA","NA","10","0.6286049","0.7677784","orbitrapDatabase0.0.1"
"M151T77",151.0258173,76.71317291,"mz151.025951832588rt136.550172",1,2,"Xanthine","69-89-6","HMDB00292","C00385","shen_730_HMDB00292","(M-H)-","0.4338985","0.9998494","NA","NA","Unknown_1","0.6906259","0.8065847","hmdbDatabase0.0.1"
"M151T323",151.0400889,323.1182556,"mz151.039783512137rt377.174742",1,2,"Vanillin","NA","NA","NA","MONA_17528","(M-H)-","0.6515097","0.9996605","NA","NA","35","0.6994129","0.8120057","monaDatabase0.0.1"
"M151T728",151.0614664,728.053772,"mz151.060928344727rt775.00266",1,2,"Xylitol","87-99-0","HMDB02917","NA","S0322","(M-H)-","0.6291382","0.9996834","NA","NA","25","0.6826367","0.8015292","nistDatabase0.0.1"
"M153T214",153.0225628,214.3218994,"mz153.019194554555rt250.525578",1,2,"3,4-Dihydroxybenzoic acid","NA","NA","NA","MONA_15434","(M-H)-","0.2852936","0.9999349","NA","NA","HCD (NCE 20-30-40%)","0.7096813","0.8185264","monaDatabase0.0.1"
"M153T96",153.0303896,95.79382324,"mz153.030322839247rt113.80155",1,2,"O,O-Diethyl phosphate","598-02-7","HMDB12209","C06608","NO00096","(M-H)-","4.692902","0.9825356","NA","NA","5","0.4857865","0.6720674","orbitrapDatabase0.0.1"
"M155T60",154.9988231,59.61262512,"mz155.001693725586rt109.047798",1,2,"Orotic acid","65-86-1","HMDB00226","C00295","NO00146","(M-H)-","20.26569","0.7199609","NA","NA","5","0.5092121","0.5882429","orbitrapDatabase0.0.1"
"M157T553",157.0872045,552.7434692,"mz157.086726264475rt509.900976",1,2,"4-Methoxycyclohexanecarboxylic acid","95233-12-8","NA","NA","NO00179","(M-H)-","0.6843388","0.9996254","NA","NA","10","0.6699212","0.7935603","orbitrapDatabase0.0.1"
"M158T288",158.0818299,288.0621338,"mz158.081966999402rt319.343274",1,2,"Acetyl-DL-Valine","3067-19-4","HMDB11757","NA","M1589","(M-H)-","0.5825015","0.9997286","NA","NA","20","0.4618634","0.6635628","metlinDatabase0.0.1"
"M159T243",159.0660494,242.8277893,"mz159.066093361073rt298.671714",1,2,"Pimelic acid","111-16-0","HMDB00857","NA","S0166","(M-H)-","0.4165973","0.9998612","NA","NA","15","0.4329013","0.6455113","nistDatabase0.0.1"
"M159T77",159.0297252,76.92053986,"mz159.029586836439rt132.993312",1,2,"2-Oxoadipic acid","3184-35-8","HMDB00225","NA","L0329","(M-H)-","0.7079089","0.9995992","NA","NA","20","0.7681532","0.8549454","nistDatabase0.0.1"
"M159T397",159.0662997,396.9719238,"mz159.06611588521rt425.192028",1,2,"3-Methyladipic acid","3058-01-3","NA","NA","NO00239","(M-H)-","0.460287","0.9998305","NA","NA","20","0.7364986","0.8352481","orbitrapDatabase0.0.1"
"M160T296",160.0614518,295.651001,"mz160.061233520508rt239.775486",1,2,"DL-2-Aminoadipic acid","542-32-5","HMDB00510","NA","L0090","(M-H)-","0.6911987","0.9996179","NA","NA","10","0.5483005","0.7175445","nistDatabase0.0.1"
"M161T588",161.0240477,587.6245728,"mz161.024116950775rt572.85702",1,2,"4-Trifluoromethylphenol","402-45-9","NA","NA","MassBank_224","(M-H)-","5.418877","0.9767824","NA","NA","10","0.6635984","0.7810424","massbankDatabase0.0.1"
"M161T102",161.0456027,101.7311859,"mz161.04537598433rt113.230704",1,2,"Alpha-D-Glucose","492-62-6","HMDB03345","NA","S0099","(M-H2O-H)-","0.2850392","0.999935","NA","NA","30","0.4173846","0.635841","nistDatabase0.0.1"
"M163T489",163.0402628,488.9259644,"mz163.039808637647rt478.602222",1,2,"4-Hydroxycinnamic acid","NA","NA","NA","MONA_17007","(M-H)-","0.5886959","0.9997228","NA","NA","35","0.7171785","0.8231326","monaDatabase0.0.1"
"M165T398",165.0555936,398.1331177,"mz165.055333634529rt457.29909",1,2,"4-Methoxyphenylacetic acid","104-01-8","NA","NA","NO00306","(M-H)-","0.9159137","0.9993291","NA","NA","5","0.4055741","0.6282322","orbitrapDatabase0.0.1"
"M167T77",167.0176573,76.86378479,"mz167.020734379559rt113.397288",1,2,"Uric acid","69-93-2","HMDB00289","C00366","NO00362","(M-H)-","0.6640511","0.9996473","NA","NA","15","0.771132","0.8568252","orbitrapDatabase0.0.1"
"M167T557",167.107463,556.6144409,"mz167.107525000945rt558.323916",1,2,"Geranic acid","NA","NA","NA","MONA_15698","(M-H)-","0.5118776","0.9997904","NA","NA","HCD (NCE 20-30-40%)","0.6465843","0.7790366","monaDatabase0.0.1"
"M171T294",171.0660864,293.5047913,"mz171.066183278911rt296.486112",1,2,"1,3-Cyclohexanedicarboxylic acid","3971-31-1","NA","NA","NO00473","(M-H)-","0.2918027","0.9999319","NA","NA","10","0.5478325","0.7173698","orbitrapDatabase0.0.1"
"M171T750",171.1388983,749.798584,"mz171.138761308219rt795.56856",1,2,"Capric acid","334-48-5","HMDB00511","C01571","M0450","(M-H)-","0.5967295","0.9997152","NA","NA","20","0.6165504","0.7602372","metlinDatabase0.0.1"
"M173T428",173.0815575,428.4070435,"mz173.08154296875rt381.315798",1,2,"Suberic acid","505-48-6","NA","C08278","MONA_9305","(M-H)-","0.9148981","0.9993306","NA","NA","10","0.4460296","0.6535175","monaDatabase0.0.1"
"M173T294",173.0813134,293.7072906,"mz173.081527709961rt309.385386",1,2,"Suberic acid","505-48-6","HMDB00893","NA","S0214","(M-H)-","0.9557251","0.9992695","NA","NA","10","0.4972616","0.6855146","nistDatabase0.0.1"
"M175T238",175.0605983,237.6590271,"mz175.060955387293rt287.248554",1,2,"2-Isopropylmalic acid","3237-44-3","HMDB00402","NA","S0112","(M-H)-","0.5615318","0.9997478","NA","NA","20","0.5991975","0.7494039","nistDatabase0.0.1"
"M175T337",175.0610576,337.4466553,"mz175.060859075243rt395.563566",1,2,"2-Isopropylmalic acid","3237-44-3","HMDB00402","NA","S0112","(M-H)-","0.8023119","0.9994852","NA","NA","15","0.741686","0.8383607","nistDatabase0.0.1"
"M178T472",178.0509157,472.1695862,"mz178.050793136975rt440.95842",1,2,"Hippuric acid","495-69-2","HMDB00714","C01586","NO00647","(M-H)-","0.2671576","0.9999429","NA","NA","10","0.7341435","0.8338183","orbitrapDatabase0.0.1"
"M182T287",182.0456456,286.8195496,"mz182.045588238054rt239.461488",1,2,"4-Pyridoxic acid","82-82-6","HMDB00017","C00847","NO00744","(M-H)-","0.7794049","0.9995141","NA","NA","20","0.7988023","0.8740692","orbitrapDatabase0.0.1"
"M188T106",188.0562027,105.8881989,"mz188.056195344773rt142.793496",1,2,"N-Acetyl-L-glutamic acid","1188-37-0","HMDB01138","C00624","NO00862","(M-H)-","0.5116381","0.9997906","NA","NA","15","0.7285704","0.830278","orbitrapDatabase0.0.1"
"M190T279",190.0541842,279.1690674,"mz190.050674438477rt276.450126",1,2,"5-Hydroxyindole-3-acetic acid","54-16-0","HMDB00763","C05635","NO00937","(M-H)-","0.5639038","0.9997456","NA","NA","30","0.5069274","0.6917342","orbitrapDatabase0.0.1"
"M190T360",190.054685,360.2733459,"mz190.050598144531rt361.041546",1,2,"5-Hydroxyindoleacetic acid","54-16-0","HMDB00763","C05635","M0351","(M-H)-","0.7546387","0.9995445","NA","NA","30","0.6565432","0.7851687","metlinDatabase0.0.1"
"M192T376",192.0661318,375.9003754,"mz192.066501972993rt435.519828",1,2,"Phenylacetylglycine","500-98-1","HMDB00821","NA","S0200","(M-H)-","0.2200675","0.9999613","NA","NA","20","0.7143639","0.8214629","nistDatabase0.0.1"
"M192T670",192.1152403,670.1880798,"mz192.110702514648rt641.4429",1,2,"N-Benzyl-2-methyl-.beta.-alanine","66839-25-6","NA","NA","NO00996","(M-H)-","19.25629","0.7433088","NA","NA","30","0.4083283","0.533946","orbitrapDatabase0.0.1"
"M193T108",193.0230114,107.782547,"mz193.023071289063rt153.77544",1,2,"DL-Isocitric acid lactone","4702-32-3","NA","NA","NO00510","(M+F)-","19.42822","0.7393642","NA","NA","15","0.4653817","0.5681251","orbitrapDatabase0.0.1"
"M194T268",194.0490376,268.2512207,"mz194.045585713829rt318.849306",1,2,"2-Hydroxyhippuric acid","487-54-7","HMDB00840","C07588","NO01060","(M-H)-","0.7857154","0.9995062","NA","NA","25","0.7167228","0.8227666","orbitrapDatabase0.0.1"
"M195T450",195.0661131,450.457489,"mz195.065734863281rt482.72922",1,2,"Hydroferulic acid","1135-23-5","NA","NA","NO01089","(M-H)-","1.412842","0.9984044","NA","NA","25","0.5580648","0.7231922","orbitrapDatabase0.0.1"
"M195T259",195.0517053,259.047821,"mz195.051899211825rt316.025388",1,2,"1,3-Dimethyluric acid","944-73-0","HMDB01857","NA","S0210","(M-H)-","1.10197","0.999029","NA","NA","15","0.7305527","0.8312313","nistDatabase0.0.1"
"M195T95",195.0505089,95.11937714,"mz195.05046081543rt95.915022",1,2,"Galactonic acid","13382-27-9","HMDB00565","NA","n00760","(M-H)-","1.347961","0.9985475","NA","NA","20","0.6941308","0.8082871","nistDatabase0.0.1"
"M197T491",197.0817545,490.7640381,"mz197.081359863281rt448.764582",1,2,"2-Amino-3-methylimidazo[4,5-f]quinoline","76180-96-6","HMDB29706","C19180","shen_4678_HMDB29706","(M-H)-","4.716192","0.9823634","NA","NA","Unknown_1","0.4725","0.6636988","hmdbDatabase0.0.1"
